Landkreis_Stadt;Wohnmobile_pro_1000_Einwohner;Verfügbares_Einkommen_pro_Einwohner;Landkreis;Wohnfläche_pro_Einwohner;Wohnungen_pro_Haus;Einwohner
Bottrop;3,91;19674;0;39,9;2,4;117364
Gelsenkirchen;2,69;16203;0;38,1;3,6;260305
Münster;6,43;22261;0;42,6;2,7;313559
Borken;7;21531;1;43,1;1,5;369718
Coesfeld;8,87;23009;1;44,8;1,6;219360
Recklinghausen;5,03;19860;1;42,1;2,3;616824
Steinfurt;7,63;21330;1;44,6;1,5;446565
Warendorf;6,75;22576;1;44,5;1,6;277458
Bielefeld;5,48;22659;0;40,4;2,6;332552
Gütersloh;6,44;24271;1;43,8;1,8;363049
Herford;6,36;22062;1;45,3;1,8;251539
Höxter;5,38;21148;1;47,4;1,6;141565
Lippe;7,27;22239;1;45,2;1,8;349069
Minden-Lübbecke;6,05;22262;1;46,2;1,7;311207
Paderborn;5,94;20913;1;44,2;1,9;305362
Bochum;3,91;19620;0;40,4;3,3;365529
Dortmund;3,63;18946;0;40,4;3,3;586600
Hagen;3,94;19774;0;41,8;3,4;187730
Hamm;4,75;18006;0;39,9;2,2;179185
Herne;2,87;17579;0;39,6;3,4;156490
Ennepe-Ruhr-Kreis;6,51;24220;1;43,5;2,6;324670
Hochsauerlandkreis;6,2;23151;1;47,2;1,8;261591
Märkischer-Kreis;6,19;24137;1;43;2,2;413383
Siegen-Wittgenstein;5,56;23134;1;46;1,8;277977
Soest;7,2;21845;1;45,9;1,7;301693
Unna;6,3;20806;1;42,5;2,1;393934
